taxonname,name_cleaned,search_string,unique_name,approximate_match,score,ott_id,is_synonym,flags,number_matches
Reithrodontomys megalotis,Reithrodontomys megalotis,reithrodontomys megalotis,Reithrodontomys megalotis,FALSE,1,732037,FALSE,NA,1
Neotoma albigula,Neotoma albigula,neotoma albigula,Neotoma albigula,FALSE,1,156843,FALSE,NA,1
Onychomys leucogaster,Onychomys leucogaster,onychomys leucogaster,Onychomys leucogaster,FALSE,1,427266,FALSE,NA,1
Onychomys torridus,Onychomys torridus,onychomys torridus,Onychomys torridus,FALSE,1,1004154,FALSE,NA,1
Microtus montanus,Microtus montanus,microtus montanus,Microtus montanus,FALSE,1,1035816,FALSE,NA,1
Ciconia ciconia,Ciconia ciconia,ciconia ciconia,Ciconia ciconia,FALSE,1,363031,FALSE,NA,1
Streptopelia decaocto,Streptopelia decaocto,streptopelia decaocto,Streptopelia decaocto,FALSE,1,277818,FALSE,NA,1
Emberiza citrinella,Emberiza citrinella,emberiza citrinella,Emberiza citrinella,FALSE,1,828708,FALSE,NA,1
Sula bassana,Morus bassanus,sula bassana,Morus bassanus,FALSE,1,675103,TRUE,NA,1
Fulmarus glacialis,Fulmarus glacialis,fulmarus glacialis,Fulmarus glacialis,FALSE,1,1028832,FALSE,NA,1
Contarinia tritici,Contarinia tritici,contarinia tritici,Contarinia tritici,FALSE,1,332904,FALSE,sibling_higher,1
Sitodiplosis mosellana,Sitodiplosis mosellana,sitodiplosis mosellana,Sitodiplosis mosellana,FALSE,1,351828,FALSE,NA,1
Zeiraphera diniana,Zeiraphera diniana,zeiraphera diniana,Zeiraphera diniana,FALSE,1,675681,FALSE,NA,2
Anser caerulescens caerulescens,Anser caerulescens,anser caerulescens,Anser caerulescens,FALSE,1,190878,FALSE,NA,1
Tellina tenuis,Macomangulus tenuis,tellina tenuis,Macomangulus tenuis,FALSE,1,15334,TRUE,NA,1
Ficedula hypoleuca,Ficedula hypoleuca,ficedula hypoleuca,Ficedula hypoleuca,FALSE,1,22300,FALSE,sibling_higher,1
Lepus americanus,Lepus americanus,lepus americanus,Lepus americanus,FALSE,1,923734,FALSE,NA,1
Bonasa umbellus,Bonasa umbellus,bonasa umbellus,Bonasa umbellus,FALSE,1,728082,FALSE,NA,1
Alosa pseudoharengus,Alosa pseudoharengus,alosa pseudoharengus,Alosa pseudoharengus,FALSE,1,519457,FALSE,NA,1
Hippoglossoides platessoides,Hippoglossoides platessoides,hippoglossoides platessoides,Hippoglossoides platessoides,FALSE,1,223665,FALSE,NA,1
Engraulis encrasicolus,Engraulis encrasicolus,engraulis encrasicolus,Engraulis encrasicolus,FALSE,1,222963,FALSE,NA,1
Engraulis mordax,Engraulis mordax,engraulis mordax,Engraulis mordax,FALSE,1,29754,FALSE,NA,1
