species,name_cleaned,search_string,unique_name,approximate_match,score,ott_id,is_synonym,flags,number_matches
Loropetalum chinense,Loropetalum chinense,loropetalum chinense,Loropetalum chinense,FALSE,1,1009297,FALSE,,1
Neolitsea aurata,Neolitsea aurata,neolitsea aurata,Neolitsea aurata,FALSE,1,265292,FALSE,,1
Pinus massoniana,Pinus massoniana,pinus massoniana,Pinus massoniana,FALSE,1,714296,FALSE,,2
Schima superba,Schima superba,schima superba,Schima superba,FALSE,1,112422,FALSE,,1
Ternstroemia gymnanthera,Ternstroemia gymnanthera,ternstroemia gymnanthera,Ternstroemia gymnanthera,FALSE,1,281685,FALSE,,1
Toxicodendron succedaneum,Toxicodendron succedaneum,toxicodendron succedaneum,Toxicodendron succedaneum,FALSE,1,301948,FALSE,,1
Pyrus bourgaeana,Pyrus mamorensis,pyrus bourgaeana,Pyrus mamorensis,FALSE,1,377831,TRUE,,1
Nothofagus menziesii,Lophozonia menziesii,nothofagus menziesii,Lophozonia menziesii,FALSE,1,316863,TRUE,,1
Allium sphaerocephalon,Allium sphaerocephalon,allium sphaerocephalon,Allium sphaerocephalon,FALSE,1,505052,FALSE,,1
Biscutella laevigata,Biscutella laevigata,biscutella laevigata,Biscutella laevigata,FALSE,1,805249,FALSE,,1
Cistus albidus,Cistus albidus,cistus albidus,Cistus albidus,FALSE,1,228845,FALSE,,1
Cistus salviifolius,Cistus salviifolius,cistus salviifolius,Cistus salviifolius,FALSE,1,752027,FALSE,,1
Dorycnium hirsutum,Dorycnium hirsutum,dorycnium hirsutum,Dorycnium hirsutum,FALSE,1,253729,FALSE,,1
Euphorbia flavicoma,Euphorbia flavicoma,euphorbia flavicoma,Euphorbia flavicoma,FALSE,1,978146,FALSE,,1
Gladiolus illyricus,Gladiolus illyricus,gladiolus illyricus,Gladiolus illyricus,FALSE,1,893085,FALSE,,1
Muscari neglectum,Muscari neglectum,muscari neglectum,Muscari neglectum,FALSE,1,172927,FALSE,,1
Phlomis lychnitis,Phlomis lychnitis,phlomis lychnitis,Phlomis lychnitis,FALSE,1,761319,FALSE,,1
Thymus vulgaris,Thymus vulgaris,thymus vulgaris,Thymus vulgaris,FALSE,1,907458,FALSE,,1
Quercus variabilis,Quercus variabilis,quercus variabilis,Quercus variabilis,FALSE,1,429764,FALSE,,1
Leymus chinensis,Leymus chinensis,leymus chinensis,Leymus chinensis,FALSE,1,658422,FALSE,,1
Eriophorum vaginatum,Eriophorum vaginatum,eriophorum vaginatum,Eriophorum vaginatum,FALSE,1,738895,FALSE,,1
Carya ovata,Carya ovata,carya ovata,Carya ovata,FALSE,1,1064112,FALSE,,1
Acer saccharum,Acer saccharum,acer saccharum,Acer saccharum,FALSE,1,948916,FALSE,,1
Quercus spp.,Quercus spp.,quercus,Quercus,FALSE,1,791121,FALSE,,1
Gaylussacia spp.,Gaylussacia spp.,gaylussacia,Gaylussacia,FALSE,1,170509,FALSE,,1
Lindera benzoin,Lindera benzoin,lindera benzoin,Lindera benzoin,FALSE,1,498693,FALSE,,1
Nyssa sylvatica,Nyssa sylvatica,nyssa sylvatica,Nyssa sylvatica,FALSE,1,671013,FALSE,,1
Prunus serotina,Prunus serotina,prunus serotina,Prunus serotina,FALSE,1,187948,FALSE,sibling_higher,2
Smilax rotundifolia,Smilax rotundifolia,smilax rotundifolia,Smilax rotundifolia,FALSE,1,172361,FALSE,,2
Vaccinium stamineum,Vaccinium stamineum,vaccinium stamineum,Vaccinium stamineum,FALSE,1,909420,FALSE,sibling_higher,1
Vaccinium vacillans,Vaccinium pallidum,vaccinium vacillans,Vaccinium pallidum,FALSE,1,466423,TRUE,sibling_higher,1
